file path: static/topics/12-satzbau.html, file name: 12-satzbau.html, line number: 24, concrete misspelling: Praepositional-Objekt, correct spelling: Präpositionalobjekt
file path: static/topics/04-konjunktiv.html, file name: 04-konjunktiv.html, line number: 26, concrete misspelling: Ratschlaege, correct spelling: Ratschläge
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 21, concrete misspelling: Erklaerungen, correct spelling: Erklärungen
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 50, concrete misspelling: faehrst, correct spelling: fährst
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 55, concrete misspelling: faehrt, correct spelling: fährt
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 75, concrete misspelling: Naechsten, correct spelling: Nächsten
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 80, concrete misspelling: Muendliche, correct spelling: Mündliche
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 83, concrete misspelling: Praesentation, correct spelling: Präsentation
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 110, concrete misspelling: Regelmaessige, correct spelling: Regelmäßige
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 114, concrete misspelling: Unregelmaessige, correct spelling: Unregelmäßige
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 186, concrete misspelling: hinzufuegen, correct spelling: hinzufügen
file path: static/topics/02-zeiten.html, file name: 02-zeiten.html, line number: 198, concrete misspelling: praezise, correct spelling: präzise
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 28, concrete misspelling: Praefix, correct spelling: Präfix
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 37, concrete misspelling: Praefix, correct spelling: Präfix
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 41, concrete misspelling: spaeter, correct spelling: später
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 46, concrete misspelling: Praefixe, correct spelling: Präfixe
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 80, concrete misspelling: Praefix, correct spelling: Präfix
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 92, "Häufige nicht trennbare Praefixe:", concrete misspelling: Praefixe, correct spelling: Präfixe
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 104, "Achtung: Praefixe wie "durch-", "Über-", "unter-", "um-" koennen", concrete misspelling: Praefixe, correct spelling: Präfixe
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 104, "Achtung: Praefixe wie "durch-", "Über-", "unter-", "um-" koennen", concrete misspelling: koennen, correct spelling: können
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 140, "<td>Wir <strong>müssen</strong> heute laenger <strong>arbeiten</strong>.</td>", concrete misspelling: laenger, correct spelling: länger
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 144, "<td>..., weil wir heute laenger <strong>arbeiten müssen</strong>.</td>", concrete misspelling: laenger, correct spelling: länger
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 158, "Häufige Modalverben: duerfen, koennen, mögen, müssen, sollen, wollen.", concrete misspelling: duerfen, correct spelling: dürfen
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 158, "Häufige Modalverben: duerfen, koennen, mögen, müssen, sollen, wollen.", concrete misspelling: koennen, correct spelling: können
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 158, "Häufige Modalverben: duerfen, koennen, mögen, müssen, sollen, wollen.", concrete misspelling: moegen, correct spelling: mögen
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 164, "<li>Praefix im Hauptsatz vergessen: "Ich rufe dich an."</li>", concrete misspelling: Praefix, correct spelling: Präfix
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 207, "Du kannst einzelne Seiten leicht hinzufuegen", concrete misspelling: hinzufuegen, correct spelling: hinzufügen
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 219, "Übung 3: Verben mit festen Pr?positionen", concrete misspelling: Pr?positionen, correct spelling: Präpositionen
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 220, "Level 3: Den richtigen Kasus waehlen.", concrete misspelling: waehlen, correct spelling: wählen
file path: static/topics/01-verben.html, file name: 01-verben.html, line number: 228, "Level 5: Formelle Sprache f?r Fortgeschrittene.", concrete misspelling: f?r, correct spelling: für
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 56, concrete misspelling: (fuehren / bringen), correct spelling: (führen / bringen)
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 60, concrete misspelling: (ueben), correct spelling: (üben)
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 76, concrete misspelling: Ruecksicht, correct spelling: Rücksicht
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 92, concrete misspelling: spaeter, correct spelling: später
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 108, concrete misspelling: ausser, correct spelling: außer
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 108, concrete misspelling: frage, correct spelling: Frage
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 116, concrete misspelling: Unterstuetzung, correct spelling: Unterstützung
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 128, concrete misspelling: Loesungen, correct spelling: Lösungen
file path: static/ubungen/02-zeiten-ubung-5.html, file name: 02-zeiten-ubung-5.html, line number: 131, concrete misspelling: abschluss, correct spelling: Abschluss
